Dataset,KMEANS_SILHOUETTE,KMEANS_INERTIA,DBSCAN_SILHOUETTE
dataset_CC(NO)_ED(NO)_OUT(NO)_BAL(NO),0.22326823218789593,46815.287622119155,0.289510202961045
dataset_CC(NO)_ED(NO)_OUT(NO)_BAL(SI),0.22326823218789593,46815.28762211917,0.289510202961045
dataset_CC(NO)_ED(NO)_OUT(SI)_BAL(NO),0.19284499633814972,41989.4397890722,0.3413701430390399
dataset_CC(NO)_ED(NO)_OUT(SI)_BAL(SI),0.19284499633814972,41989.4397890722,0.3413701430390399
dataset_CC(SI)_ED(SI)_OUT(NO)_BAL(NO),0.22326823218905487,46815.28762211917,0.2895102025601575
dataset_CC(SI)_ED(SI)_OUT(NO)_BAL(SI),0.22326823218905487,46815.28762211917,0.2895102025601575
dataset_CC(SI)_ED(SI)_OUT(SI)_BAL(NO),0.19284499634058708,41989.4397890722,0.3413701439441957
dataset_CC(SI)_ED(SI)_OUT(SI)_BAL(SI),0.19284499634058708,41989.4397890722,0.3413701439441957
